doi	pubdate	source	number	text	software	ID	curation_label
10.1186/s12862-019-1477-1	2019	Methods	2	Sequence concatenations and file format conversions were implemented in Sequence Matrix [	Sequence Matrix	SM61024	not_curated
10.1186/s12862-019-1477-1	2019	DNA extraction, PCR and sequencing analysis	1	Sequence concatenations and file format conversions were implemented in Sequence Matrix [	Sequence Matrix	SM61024	not_curated
10.1186/s12864-017-3868-2	2017	Methods	2	 For the concatenation analysis, aligned gene sequences with at least 450 bp of overlapping sequence were concatenated into a single file using SequenceMatrix [	SequenceMatrix	SM51323	software
10.1186/s12864-017-3868-2	2017	Phylogenetic analysis	1	 For the concatenation analysis, aligned gene sequences with at least 450 bp of overlapping sequence were concatenated into a single file using SequenceMatrix [	SequenceMatrix	SM51323	software
10.3389/fcimb.2020.618747	2021	Materials and Methods	4	Sequence Matrix 1	Sequence Matrix	SM61024	not_curated
10.3389/fcimb.2020.618747	2021	Phylogenetic Analyses	0	Sequence Matrix 1	Sequence Matrix	SM61024	not_curated
10.3389/fmicb.2019.01395	2019	Materials and Methods	5	 The sequences for the different loci were concatenated in sequenceMatrix (1	sequenceMatrix	SM723585	not_curated
10.3389/fmicb.2019.01395	2019	Genetic Identity and Phylogeny	1	 The sequences for the different loci were concatenated in sequenceMatrix (1	sequenceMatrix	SM723585	not_curated
10.3389/fpls.2017.02270	2018	Materials and methods	6	 The final sequences of the three cpDNA were concatenated using SequenceMatrix v	SequenceMatrix	SM51323	software
10.3389/fpls.2017.02270	2018	cpDNA sequence data analysis	0	 The final sequences of the three cpDNA were concatenated using SequenceMatrix v	SequenceMatrix	SM51323	software
10.3389/fpls.2020.00799	2020	Materials and Methods	13	 Individual sequence alignments were performed using MAFFT and then combined for each dataset using SequenceMatrix (	SequenceMatrix	SM51323	software
10.3389/fpls.2020.00799	2020	Phylogenetic Analysis	0	 Individual sequence alignments were performed using MAFFT and then combined for each dataset using SequenceMatrix (	SequenceMatrix	SM51323	software
