subset,pmcid,pmid,doi,pubdate,section,paragraph_number,software_mention,version,curation_label,mapped_to_software,text
comm,6502327,31059557.0,10.1371/journal.pone.0216608,2019,Protein-coding sequences,5,Sequence Matrix,,not_curated,SequenceMatrix,"We concatenated these sequences using Sequence Matrix (Vaidya et al., 2010); the concatenated sequences included 42,785 nucleotide positions"
comm,6192594,30332426.0,10.1371/journal.pone.0204756,2018,Phylogenetic and species delimitation analysis,14,SequenceMatrix,,software,SequenceMatrix,"Then, in order to reduce polytomy and search for more resolved relationships, we concatenated the COI data set with three nuclear markers, 18S rRNA, 28S rRNA and ITS-2, using SequenceMatrix [56]"
comm,3460966,23029072.0,10.1371/journal.pone.0045523,2012,Sequence Alignment and Phylogenetic Analysis,10,SequenceMatrix,1.7.8,software,SequenceMatrix,SequenceMatrix 1.7.8 [53] and Mesquite 2.74 [54] were used to concatenate aligned gene regions into a combined molecular dataset
comm,4920351,27341029.0,10.1371/journal.pone.0158167,2016,Bioinformatic and Phylogenetic analysis,10,SequenceMatrix,,software,SequenceMatrix,Individual genes were concatenated into a single data matrix using SequenceMatrix v1.7.8 [50]
comm,7179895,32324729.0,10.1371/journal.pone.0225233,2020,Phylogeny and Gene Order (GO) analyses,8,SequenceMatrix,,software,SequenceMatrix,"Finally, for each of the two datasets, the sequences of all PCGs were concatenated using SequenceMatrix v1.7.84537 [45]"
comm,7055844,32130211.0,10.1371/journal.pone.0228485,2020,Phylogenetic analysis,10,Sequence Matrix,,not_curated,SequenceMatrix,A concatenated matrix was assembled using Sequence Matrix (v
comm,5330476,28245223.0,10.1371/journal.pone.0172352,2017,Molecular data set,11,SequenceMatrix,1.7.9,software,SequenceMatrix,"For each gene, sequences were assembled and aligned in Geneious R8 [25] considering invertebrate mitochondrial translation code (using Translation Align tool), and thereafter concatenated dataset from these two gene alignments were conducted in SequenceMatrix 1.7.9"
comm,6059426,30044806.0,10.1371/journal.pone.0200372,2018,Sequence assembly and alignment,11,SequenceMatrix,,software,SequenceMatrix,The aligned matrix was concatenated to a combined matrix using SequenceMatrix version 1.73 [33]
comm,6456250,30964918.0,10.1371/journal.pone.0215176,2019,Phylogenetic analysis,11,Sequence Matrix,,not_curated,SequenceMatrix,"The three final marker data sets were combined using Sequence Matrix software [42], and the data partition matrix was made"
comm,4156343,25192061.0,10.1371/journal.pone.0106649,2014,Mitochondrial gene phylogeny and divergence estimates,15,Sequence Matrix,1.7.8,not_curated,SequenceMatrix,"Complete mitochondrial protein sequences were then aligned using Geneious 6.1.6 (Biomatters Ltd.), followed by minor manual adjustment, and were concatenated using Sequence Matrix 1.7.8 [36]"
comm,6927662,31869373.0,10.1371/journal.pone.0226064,2019,"DNA isolation, amplification and sequencing",12,Sequencematrix,,not_curated,SequenceMatrix,"Consensus sequences were aligned using the programme ClustalX 2.1.12 [39], and the genes were concatenated using Sequencematrix [40]."
comm,5376084,28362811.0,10.1371/journal.pone.0174792,2017,Phylogenetic analyses,6,SequenceMatrix,1.7,software,SequenceMatrix,"Aligned matrices of the seven DNA regions were firstly analyzed separately, then plastid matrices were concatenated using SequenceMatrix 1.7 [44]"
comm,6066202,30059541.0,10.1371/journal.pone.0200773,2018,Phylogenetic analyses,13,Sequence Matrix,1.8,not_curated,SequenceMatrix,The software Sequence Matrix 1.8 was used for the sequence concatenations [33].
comm,3500307,23166696.0,10.1371/journal.pone.0049521,2012,Alignments and Data Concatenation,58,SequenceMatrix,1.7.8,software,SequenceMatrix,Alignments for 79 different partitions were combined with SequenceMatrix 1.7.8 [137]
comm,3777957,24069353.0,10.1371/journal.pone.0074828,2013,Molecular methods,11,SequenceMatrix,,software,SequenceMatrix,Sequence data matrixes were concatenated using SequenceMatrix version 1.7 [24].
comm,4043755,24892428.0,10.1371/journal.pone.0098558,2014,Phylogenetic analyses,37,SequenceMatrix,,software,SequenceMatrix,The derived amino acid sequences of 12 mitochondrial PCGs from 50 nematode species were aligned individually using the online MAFFT service with default parameters (http://mafft.cbrc.jp/alignment/server/) [53] and were then concatenated into a single alignment using SequenceMatrix [54]
comm,4465667,26061739.0,10.1371/journal.pone.0128181,2015,Phylogenetic analyses,23,Sequence Matrix,,not_curated,SequenceMatrix,Aligned sequences were concatenated and analyzed using Sequence Matrix v1.7.8 [53] and are available at the Dryad repository (doi:10.5061/dryad.63j2j)
comm,6395032,30818396.0,10.1371/journal.pone.0213181,2019,Phylogenetic analysis,21,Sequence Matrix,,not_curated,SequenceMatrix,We employed Sequence Matrix v1.8 [46] to combine the DNA data and binary characters.
comm,3543462,23326463.0,10.1371/journal.pone.0053598,2013,"DNA extraction, amplification and phylogenetic analyses",11,Sequence Matrix,,not_curated,SequenceMatrix,"As the topology of 18S and 28S rRNA genes are congruent [15], the two aligned matrices were concatenated with Sequence Matrix [33], forming a 2386 bp-long dataset containing 104 taxa"
comm,4182490,25268381.0,10.1371/journal.pone.0108603,2014,Phylogenetic analysis,6,SequenceMatrix,,software,SequenceMatrix,We concatenated both gene alignments with SequenceMatrix v
comm,5104439,27832128.0,10.1371/journal.pone.0165702,2016,"Alignment, substitution model choice and phylogenetic inference",23,SequenceMatrix,,software,SequenceMatrix,The resulting alignment for each gene was concatenated using SequenceMatrix v
comm,4905661,27294529.0,10.1371/journal.pone.0157123,2016,Data analyses,21,SequenceMatrix,,software,SequenceMatrix,The binary characters were combined with the nucleotide data using the program SequenceMatrix [35]
comm,7098592,32214331.0,10.1371/journal.pone.0230014,2020,Tissue collection and genetic analysis,13,SequenceMatrix,,software,SequenceMatrix,Concatenation of genes was accomplished in SequenceMatrix [48].
comm,6053231,30024965.0,10.1371/journal.pone.0201068,2018,Phylogenetic analyses,11,Sequence Matrix,1.8,not_curated,SequenceMatrix,Sequence Matrix 1.8 software was used for sequence concatenations [44].
comm,3866145,24358356.0,10.1371/journal.pone.0084352,2013,Sequence alignment and phylogenetic analyses,25,SequenceMatrix,,software,SequenceMatrix,The resulting alignments of trimmed nucleotides or amino acids were concatenated in SequenceMatrix [55] into two datasets with 10200 nucleotides or 3400 amino acids
comm,6553701,31170152.0,10.1371/journal.pone.0207833,2019,Phylogenetic analyses,10,SequenceMatrix,,software,SequenceMatrix,FASTA files were concatenated with SequenceMatrix v1.8 [68] to generate the six-gene dataset
comm,4520480,26225760.0,10.1371/journal.pone.0134170,2015,Phylogenetic Analysis,11,SequenceMatrixv1,SequenceMatrixv1.7.8,not_curated,SequenceMatrix,Individual gene alignments were concatenated using SequenceMatrixv1.7.8 [38]
comm,5300163,28182623.0,10.1371/journal.pone.0170286,2017,"Sequence alignment, genetic distance and barcoding gap",6,SequenceMatrix,1.7.7,software,SequenceMatrix,"Then, SequenceMatrix 1.7.7 [44] was used to combine matrixes of single marker into matrixes of multi-makers"
comm,4922825,27348125.0,10.1371/journal.pone.0157386,2016,Methods,7,SequenceMatrix,,software,SequenceMatrix,"DNA sequences were corrected and aligned using CodonCode Aligner (CodonCode Corp., Centerville, MA, USA), concatenated using SequenceMatrix [21], and collapsed using Alter [22]."
comm,5266277,28122062.0,10.1371/journal.pone.0170596,2017,Phylogenetic analysis,12,SequenceMatrix,,software,SequenceMatrix,SequenceMatrix [36] was employed to assemble combined datasets.
comm,4511787,26200914.0,10.1371/journal.pone.0130127,2015,Alignments and phylogenetic analyses,10,SequenceMatrix,1.7.7,software,SequenceMatrix,We used the software SequenceMatrix 1.7.7 [79] to concatenate the supermatrix
comm,4355296,25756215.0,10.1371/journal.pone.0116485,2015,Phylogenetic analyses,10,SequenceMatrix,,software,SequenceMatrix,The datasets were finally concatenated using SequenceMatrix [49].
comm,6209132,30379813.0,10.1371/journal.pone.0199404,2018,Phylogenetic analysis,8,SequenceMatrix,,software,SequenceMatrix,The dataset of all PCGs was concatenated using SequenceMatrix v1.7.845 to form 9696 bp dataset [34]
comm,5558960,28813426.0,10.1371/journal.pone.0181413,2017,Molecular analyses,17,SequenceMatrix,,software,SequenceMatrix,"Multi-gene trees were made by concatenating alignments of the three genes using SequenceMatrix [53], with leading and trailing gaps represented as undefined characters"
